height,temperature,np,HI,HII,HMinus
0.0,6910.0,159748000000000.0,1.28256e+17,144310000000000.0,12031500000.0
15000000.0,5140.0,5546850000000.0,5.03193e+16,739498000000.0,213978000.0
20000000.0,5050.0,3701580000000.0,3.41396e+16,427032000000.0,101700000.0
27500000.0,4960.0,2044980000000.0,1.86198e+16,230402000000.0,32696900.0
32500000.0,5060.0,1565900000000.0,1.19897e+16,347490000000.0,16202100.0
37500000.0,5290.0,1469770000000.0,7632340000000000.0,656688000000.0,12335600.0
47500000.0,5780.0,1649050000000.0,3260730000000000.0,1265950000000.0,12310700.0
57500000.0,6210.0,2428130000000.0,1488780000000000.0,2218010000000.0,8404180.0
67500000.0,6640.0,5397350000000.0,712750000000000.0,5250340000000.0,4044390.0
77500000.0,7080.0,13670100000000.0,350141000000000.0,13559300000000.0,1849760.0
87500000.0,7500.0,23615200000000.0,170560000000000.0,23539500000000.0,1028310.0
97500000.0,7910.0,32436000000000.0,76018100000000.0,32381900000000.0,519453.0
102500000.0,8120.0,33433000000000.0,48653000000000.0,33387000000000.0,357588.0
107500000.0,8360.0,32959800000000.0,29299300000000.0,32920700000000.0,237778.0
110000000.0,8500.0,26958500000000.0,15350600000000.0,26929400000000.0,116839.0
110025000.0,9000.0,27754600000000.0,8192890000000.0,27727100000000.0,88317.9
110050000.0,11500.0,25312500000000.0,1543370000000.0,25286600000000.0,131874.0
110076000.0,15000.0,18963000000000.0,956176000000.0,18913800000000.0,1445340.0
110100000.0,18000.0,15882000000000.0,778383000000.0,15761600000000.0,6137230.0
110125000.0,20000.0,14429600000000.0,704950000000.0,14235000000000.0,12919900.0
110150000.0,22000.0,13266400000000.0,644613000000.0,12985400000000.0,23558100.0
110175000.0,25000.0,11886000000000.0,571491000000.0,11478500000000.0,47814200.0
110200000.0,29000.0,10351200000000.0,490952000000.0,9828950000000.0,95049700.0
110225000.0,35000.0,8511450000000.0,398021000000.0,7939790000000.0,189555000.0
110250000.0,40000.0,7513060000000.0,355994000000.0,6948710000000.0,298195000.0
110275000.0,60000.0,5089260000000.0,261272000000.0,4642870000000.0,859185000.0
110300000.0,90000.0,3400900000000.0,214768000000.0,3069140000000.0,2086830000.0
110500000.0,150000.0,2057480000000.0,168046000000.0,1806470000000.0,4485170000.0
111000000.0,230000.0,1370520000000.0,115680000000.0,1172420000000.0,4896410000.0
111300000.0,450000.0,714528000000.0,60010600000.0,598031000000.0,3858650000.0
111600810.8108105,2447262.545606461,136711236626.79384,60010600000.0,598031000000.0,3858650000.0
111902434.62381253,13309097.70472936,26157074628.324158,60010600000.0,598031000000.0,3858650000.0
112204873.63630915,72379680.73022458,5004654847.644217,60010600000.0,598031000000.0,3858650000.0
